"id_piece","id_dossier","id_photo","ordre","titre","contenu","dossier_banc","tags","date_post","id_v1","statut"
"1","12","2487","1","Avec ma famille","OK, c’est vrai, de ce côté là on a complètement oublié les joies des retrouvailles familiales, les efforts pour améliorer l’entente entre les membres, se rendre disponible pour les voir… Alors cette année : <br><br><menu><li>Je réserve mon dimanche pour le déjeuner dominical au lieu de paresser au lit<br><br><li>Je prends mon téléphone de temps en temps pour prendre des nouvelles des grands-parents et des cousins.<br><br><li>Je cherche des cadeaux en avance au lieu d’acheter un truc vite fait au dernier moment et en rechignant …<br><br><li>J’arrête de chercher des noises à mes parents, j’évite de les rendre dingues, et si vraiment je ne peux pas faire autrement, je ne mets pas en danger en les tenant informés de ce que je fais et avec qui ...<br><br><li>Je sais que vivre en collectivité rime avec joies et contraintes, dont font partie les tâches ménagères … Ce n’est pas parce que vous vous dite féministe que vous ne pouvez pas repasser votre linge. Maman n’est pas la boniche. Si c’est vous la mère, rappelez à votre progéniture et mari, que la lessive ne s’est pas faite toute seule.<br><br><li>Je me réconcilie avec les personnes avec qui je me suis brouillée, quitte à faire le premier pas, la vie est trop courte pour la passer à se bouffer le nez.<br><br><li>Je stoppe mes crises de jalousie avec ma sœur cadette. Oui, papa nous aime de la même manière !<br><br><li>Je me garde un midi pour déjeuner avec ma mère, ça lui fait plaisir et nous on aime bien que quelqu’un s’occupe de nous. …<br><br><li>Pour les mamans, je n’étouffe pas mes enfants et je n’oublie pas que moi aussi quand j’étais jeune …<br><br><li> je prends le temps d’écouter les histoires à dormir de bout de ma pitchoune de 4 ans et consoler mon ado en pleine crise existentielle.</menu>",NULL,NULL,"0000-00-01","d.10","1"
"2","12","2488","2","Avec mes amis","Oui, alors c’est vrai que cette année, on s’est relâchée, on a pas fait beaucoup d’efforts, on s’est laissé débordée par le temps… Résultat : on a perdu nos potes. OK, pas tous mais bon il y a Jean-Pierre qu’on reverrais bien, et puis Gislène, qu’est-ce qu’elle devient ? Alors cette année :<menu><li>je les rappelle tous les deux et on se fait une bouffe.<br><br><li>J’arrête de dire à Pénélope que sa coupe de cheveux lui va bien et je lui conseille mon coiffeur. <br><br><li>Pas besoin d’exploser son forfait pour montrer qu’on pense à quelqu’un, un petit texto, ça fait toujours plaisir. <br><br><li>J’arrête de passer toutes mes soirées exclusivement avec mon mec, les amis au moins, on sait que c’est pour la vie. <br><br><li>Ce n’est pas parce que j’ai une vie de famille que je ne peux plus les voir, allez hop ce soir j’appelle la baby-sitter et on va tous en boîte ( ou on se fait un gueuleton au resto )<br><br><li>J’accompagne Carole au cinéma voir des films Coréens, ça lui fait tellement plaisir …<br><br><li>Partant du principe ultra connu que les bons comptes font les bons amis, je rembourse toutes mes petites dettes, et je vais glaner aussi mes propres sous.<br><br><li>J’écoute les problèmes des autres au lieu de tout le temps parler de moi.<br><br><li>Je prends le temps de me poser pour un café ( même si j’ai des tas de choses à faire …) non seulement ça fait du bien de souffler un peu mais en plus je me détends en voyant mes amis.<br><br><li>Plus de faux plan ! Quand je dis que je rendrai service à Mathilde pour son déménagement, je tiens mes promesses !</menu>",NULL,NULL,"0000-00-01","d.11","1"
"3","12","2489","3","En Amour","D’accord, l’avant-avant dernier était un obsédé et le précédent un fantôme. Il est maintenant temps de me reprendre en main !<br>Je suis une jeune femme dans le vent et moi aussi j’ai le droit au bonheur ! Alors cette année :<menu><li>Je chouchoute mon actuel. Une vraie perle- même si de temps en temps il me sort par les yeux,<br><br><li>J’évite de le tromper ou de lui faire du mal, car si ça casse je ne sais pas ce que je vais gagner et encore moins ce que je vais perdre …<br><br><li> Mais si vraiment ça ne va plus du tout entre nous, je me décide enfin à rompre sans scrupule. A quoi ça sert d’avoir un chéri si c’est pour être malheureuse ? <br><br><li> Je présente mon mec ou futur à ma mère, ça lui évitera de poser 50 000 questions et ça évitera à Doudou de se rendre compte après plusieurs années de ce que vous deviendrez alors qu’il a un exemple en live devant les yeux.<br><br><li>J’entame un dialogue sans possibilité de fuite (exemple : le prendre entre quatre yeux dans la voiture) pour dénoncer tout ce qui vous tracasse et vous chagrine tout de suite et pas dans quatre ans.<br><br><li>J’arrête de bouder, c’est une réaction très enfantine et je DIALOGUE.<br><br><li>J’accepte enfin d’être présentée aux potes célib’ de mes copines, ça me fait déjà une première garantie de tomber sur un mec bien. <br><br><li>Je ne complexe pas si je suis la seule célibataire de mon groupe de copines car je suis aussi la seule à ne pas avoir de compte à rendre quand je sors !<br><br><li>Je me décide enfin à rappeler Julien le canon de la boîte de samedi ou à aborder Greg, ce beau goss qui m’a reluquée toute la soirée.<br><br><li>Je réalise que si je veux rencontrer quelqu’un, je dois en avoir vraiment envie … que ça se voit sur mon visage, mon allure, mon humeur ! Une fille mal dans ses pompes, cheveux sales et mine triste, elle ne rencontre pas de mecs.<br><br><li>Je privilégie les rencarts speed-dating et autres soirées célibataires que les sites de rencontre où je mens sur mon âge, ma profession et même mon nom !</menu>",NULL,NULL,"0000-00-01","d.12","1"
"4","12","2490","4","Au lit","Je ne me rappelle même plus depuis quand j’ai eu un orgasme, pire depuis quand j’ai eu des rapports sexuels sympa avec un homme que j’aime. Ça suffit, j’y mets un terme, 2007 sera HOT.<menu><li>Je m’offre le kama sutra illustré en version très très complète et il devient mon livre de chevet.<br><br><li>J’arrête de « fucking friender » avec mon ami george. Sympa, mais moche et qui ne sait absolument pas s’y prendre …<br><br><li>Je remets un peu de piment dans mon couple et m’offre le kit complet de la stripteaseuse.<br><br><li>J’augmente ma libido en réalisant la moitié de mes fantasmes ( réalisables ) en faisant l’amour PARTOUT  en commençant par la maison ( cuisine, terrasse, salle de bain …).<br><br><li>J’apprends enfin à monsieur, l’emplacement de mon clitoris et lui indique mes points sensibles.<br><br><li>Ce n’est pas parce que j’ai 30 ans et des brouettes et que je suis célibataire depuis quelques années, que je dois coucher le premier soir. Je refuse de passer pour une fille facile et attends au moins quelques jours avant de passer à l’acte.<br><br><li>Je prends conscience que faire l’amour, ça ne se fait pas avec n’importe qui, et n’importe comment. Quant au préservatif, il n’est pas seulement dans votre sac pour faire genre « je ne passe pas mes soirées toute seule » mais est utile. Je deviens responsable !<br><br><li>Je renonce définitivement à mes soutifs trompe-couillons et m’offre un bel ensemble Chantal Thomas.<br><br><li>Mieux vaut être seule que mal accompagnée. Je teste le petit canard vibro de chez Sonia Rykiel.<br><br><li>Je consulte les conseils des expertes sexo sur Trucs de Nana.</menu>",NULL,NULL,"0000-00-01","d.13","1"
"5","12","2491","5","Avec mon portefeuille","Chaque année, c’est la même chose, je me retrouve à sec ! Et quand je dis à sec, je ne pèse pas mes mots. Julo me paye tout même mes petites culottes, ma mère m’achète toutes les fringues du bébé, et c’est limite si je sèche pas les cafés entre copines …<br>Alors 2007 sera l’année du porte-monnaie remplit et le début du shopping raisonnable.
<menu><li>Je limite les razzias chez H & M entre copines à 1 fois / semaine.<br><br><li>J’optimise mon budget shopping en m’inscrivant sur tous les sites de ventes privées et de discount sur le Net. A moi les robes Maje à 25 Euros !<br><br><li>Je deviens raisonnable et limite mes conversations téléphoniques aux appels nationaux (j’appellerai ma copine à NY sur skype !) et aux appels urgents (chéri, maman, Juliette, mon boss … )<br><br><li>Je comprends enfin que c’est moi, ce n’est pas « Versailles » ( sauf si papa bosse chez EDF ) et que les lumières elles ne s’éteignent pas toutes seules.<br><br><li>J’apprends à faire les courses chez ED plutôt que chez Monop’ et à remplacer mon Nutella adoré par une simple pâte à tartiner ( de toute façon, ce sont les mêmes calories …)<br><br><li>J’économise côté sorties en optant pour le ciné en semaine, les expos gratuites, les café théâtre de quartier, les mini-concerts dans les bars et les karaokés entre amis et je passe des bonnes soirées sans culpabiliser.<br><br><li>Je limite les restos et je privilégie les bonnes bouffes entre potes. C’est plus convivial et c’est mon compte-banque qui sera content.<br><br><li>Je réalise que paquet de clopes 2 / jour + apéro tous les soirs + sandwich quotidien =  petite robe cintrée signée Prada<br><br><li>Je me fais couper les cheveux chez Tchip « la coiffure à petits prix » et me limite à un balayage par trimestre.<br><br><li>Au lieu d’imiter ma grand-mère en cachant mes économies sous mon lit, j’épargne !</menu>",NULL,NULL,"0000-00-01","d.14","1"
"6","12","2492","6","Côté beauté","Entre mon duvet brun décoloré en blond (qui se voit à mort) au dessus de ma lèvre, ma cellulite que j’ai arrêté de combattre depuis des années et mon énième bourrelet que je cache sous mon tee-shirt XL Décathlon, on ne peut pas dire que la beauté et l’allure étaient au rdv ces derniers temps. 2007 sera l’année du changement et du relooking intensif, en avant les soins, les brush et le shopping !<menu><li>J’arrête la raie au milieu et je fonce me faire une frange. Bien sûr, entre temps, je change de coiffeur.<br><br><li>Je stoppe les mèches blondes version cagole ou les racines noires d’Eve Angeli et j’opte pour un brun sensuel à la Monica Belluci.<br><br><li>Les femmes à barbe sont loin de défiler sur les podiums. Je m’épile enfin la moustache (à la cire pas au rasoir !).<br><br><li>Finito les poils qui filent les collants aux premiers frimas, je m’épile les jambes tous les mois et en profite pour enlever ceux des aisselles, des avant-bras et du maillot. <br><br><li>Je renonce à mon jogging avec des poussins ( autorisé en cas de dépression ) et consulte enfin la rubrique Mode de Trucs de Nana. Je prends conscience qu’un bon style et une belle garde-robe peuvent être de véritables atouts.<br><br><li>Ma peau est précieuse. J’arrête de la massacrer avec les UV, les perçages de boutons, les produits abrasifs, les fonds de teint bas de gamme … Je l’hydrate, la chouchoute avec des soins adaptés, et prends rdv de temps en temps chez le dermato pour un peeling.<br><br><li> Je réalise que si j’élimine la cigarette de ma vie, mon teint sera plus éclatant, mes dents plus blanches et mon haleine plus fraîche.<br><br><li>Je limite ma conso de cornes de gazelle de chez mémé et les croissants au petit déj car je veux effacer la cellulite de mon derrière.<br><br><li>J’avale une dizaine de gélules tous les matins ( zinc, fer, huile d’onagre, vitamine B, C, E …) pour fortifier mes cheveux, améliorer la qualité de ma peau et diminuer mes cernes.<br><br><li>Un verre de vin / jour ça passe, trois verres de martini à l’apéro et 4 vodka Gini tous les samedi soirs, plus jamais ! Y’en a marre des ventres gonflés et du visage bouffi.</menu>",NULL,NULL,"0000-00-01","d.15","1"
"7","12","2493","7","Au travail","Au boulot :<br>Cela fait des années que je bosse dans la même boîte et que je gagne le même salaire, que je ne connais pas encore tous les noms des employés et que j’arrive au boulot avec l’estomac noué … plus question de remettre çà en 2007, je passe les ¾ de ma journée au bureau au temps que ce soit dans la joie et la bonne humeur !<menu><li>Je prends des initiatives et demande des responsabilités au travail, je n’en serais que plus épanouie et c’est mon patron qui sera content. Vive les promotions et les augmentations de salaires !<br><br><li>Je tente de nouer des relations amicales avec ces extraterrestres qui sont mes collègues. Quitte à les voir tous les jours, autant apprendre à les connaître et avoir des choses à se dire, la journée n’en sera que plus agréable !<br><br><li>Fini les déjeuners à la « vas-vite » au bureau pour rattraper le travail en retard, je m’accorde toujours une pause pour décompresser dans la journée et me remettre au travail détendue. Je ne serais que plus efficace une fois reposée.<br><br><li>Je m’organise, je répartis mon travail sur la semaine et ne me laisse pas déborder par les imprévus afin d’être complètement dispo le week end et penser un peu à moi. Je laisse les dossiers au bureau et oublie le boulot pendant une journée au moins ! Pas question de mettre de côté ma vie privée pour ma vie professionnelle, car les deux en pâtiraient !<br><br><li>Si je suis l’employeuse, je deviens la patronne de rêve, ni trop stricte et méchante, ni trop gentille et trop bête … j’augmente les meilleurs éléments de la boîte, organise des dîners avec les salariés, fais des compromis lors de différents avec mon associé et licencie gentiment les employés qui ( ça se voit comme votre nez au milieu de votre figure ) n’ont absolument pas envie de travailler dans votre entreprise … 
<br><br>Dans les études :<br>Je ne sais même plus pourquoi je suis en fac de droit ( peut-être pour les mauvaises raisons …), je ne suis jamais ponctuelle sauf pour les soirées étudiantes et je suis la première de ma promo en taux d’absentéisme … STOP !<menu><li>fini les révisions la veille des exams, cette année, je me prépare à l’avance et me laisse un peu de détente avant le jour fatidique pour décompresser.<br><br><li>J’avance ma montre de dix minutes afin de ne plus débarquer dans mon amphi blindé car le cours a déjà commencé depuis une ½ heure. Une seule règle : être en avance c’est bien mais être à l’heure c’est mieux …<br><br><li>Quand mon réveille sonne, je ne cède plus à l’appel du lit et évite de repousser le moment du lever qui n’en sera que plus difficile ! J’arrête de sécher les cours pour une grasse matinée où je culpabilise dans mon lit alors que mes copines sont en cours.<br><br><li>Je reste attentive pendant le cours (facile si le prof est mignon !) ce qui me fait des heures de travail en moins à la maison et des moments en plus avec les copines.<br><br><li>Je m’investis dans mes études et fais des stages afin d’étoffer mon CV et de me faire le plus de relations possible dans le métier. Fini les études pour passer le temps, je prends du plaisir dans ce que je fais et me lance à fond dans mes projets...</menu>",NULL,NULL,"0000-00-01","d.16","1"
"8","12","2494","8","Avec MA planète","Entre le réchauffement climatique, l’excès de pollution, et les guerres au 4 coins du globe, il faut vraiment être sourde et aveugle pour ne pas remarquer que notre chère planète est au plus mal … Quant à moi-même, je n’améliore en rien sa situation, le tri, je ne connais pas, je prends la voiture à la première occas’ et je me bagarre sans arrêt avec Pierre, Paul et Jacques. Il est temps de faire quelques efforts !<menu><li>L’année 2007 sera l’année du tri ! Je me renseigne sur les significations et l’usage des 4 poubelles de couleur qui trônent en bas de mon immeuble (et oui elles ne sont pas là que pour faire joli), et je tris mes déchets.<br><br><li>Vive les transports publics, le covoiturage et la bicyclette ! D’une, j’économise, de deux, je socialise (ou brûle des calories) et enfin, je respecte l’environnement.<br><br><li>Je me limite à un bain par semaine pour décompresser et favorise les douches le reste du temps ( froides de préférence, c’est bon pour la circulation du sang).<br><br><li>J’intègre définitivement que les trottoirs ne sont pas des dépotoirs et que les mégots mettent entre 3 à 5 ans à s'éliminer dans la nature, les chewing-gum, 5 ans et une bouteille de bière, 4500 ans ! Une épluchure de clémentine est tolérée.<br><br><li>J’adhère au concept du commerce dit « social » en achetant les produits alimentaires transformés comme le chocolat, le café, le thé et des articles artisanaux issus du commerce équitable, en provenance d'Amérique du Sud, d'Asie... et ainsi j’aide les petits producteurs du monde entier. <br><br><li>MA planète, c’est aussi mes concitoyens … donc je m force à respecter mon entourage et commence par mes gentils voisins. Promis, j’arrête de passer l’aspirateur à minuit passé et de me réveiller le dimanche à 8 h avec Lara Fabian.<br><br><li>Je fais ma B.A de la semaine en aidant Micheline, la petite vieille du quartier à traverser la route.<br><br><li>Je ne détourne pas mon regard dés qu’un SDF me tend la main et lui donne volontiers quelques pièces ou de quoi manger.<br><br><li>Je ramasse les crottes de mon chiwawa et change la litière de mon chat tous les deux jours. Vous n’avez plus 5 ans, un animal, ce n’est pas que pour faire des câlins, il faut s’en occuper. <br><br><li>Qui dit fashion, ne veut pas forcément dire adhérer à la vraie fourrure. J’opte pour le synthétique de bonne qualité et je m’inscris dans l’asso de Brigitte Bardot.</menu>",NULL,NULL,"0000-00-01","d.17","1"
"9","12","2495","9","Côté santé","2006 c’était fumer comme un pompier, la crève qu’il vente ou qu’il neige, et une hygiène de vie digne d’une suicidaire … 2007 plus question de sombrer, je m’alimente comme un moine tibétain et je me bourre de vitamine C !
<menu><li> J’avale une dizaine de gélules ( zinc, fer, huile d’onagre, vitamine B, C, E …) et une ampoule de ginseng tous les matins pour garder forme et tonus. Passé 30 ans, je me renseigne sur les antioxydants.<br><br><li>J’arrête de fumer (vraiment )et je prends les choses en main pour ne pas replonger ( patch, nicorette, nouvel amant, inscription dans salle de sport …).<br><br><li> Un verre de vin / jour ça passe, trois verres de martini à l’apéro et 4 vodka Gini tous les samedi soirs, plus jamais ! Pas envie de me retrouver avec un cancer à 40 ans.<br><br><li>Ras le bol de ne plus rentrer dans mon 36 / 38 et de souffler comme une dingue après avoir monté deux marches d’escalier, je m’inscris dans un club de fitness et je cours tous les dimanche.<br><br><li>Je prône la nourriture Bio et équilibrée. Je m’adonne aux joies culinaires en faisant des poêlées de légumes (Bio) avec du poisson et j’en profite pour m’acheter un super Wok.<br><br><li>Le sommeil, c’est sacré. Je dors 8h / jour, fais des minis-siestes dés le premier coup de barre et pense à me reposer de temps en temps ( juste fermer les yeux …).<br><br><li>Je maigris un peu ( et oui encore). Je sais c’est pathétique mais je veux vraiment perdre ces quelques kilos qui me prennent la tête et toute la place dans mon jean slim.<br><br><li>Je fais l’amour. Rien de tel pour retrouver la santé et le moral !<br><br><li>J’arrête de sortir dehors, par -5°C avec un tenue ultra sexy et je me couvre avec un sublime manteau Sandro. Je n’ai pas envie d’attraper une pneumonie.<br><br><li>J’évacue tout mon stress et teste le yoga ou la méditation. Pour être en bonne santé, dite au revoir au surmenage …</menu>",NULL,NULL,"0000-00-01","d.18","1"
"10","12","2496","10","Mon moral","« Mais oui j’ai le moral en ce moment ! » dites-vous d’un air peu enjoué.
Une petite baisse de régime s’annonce pour cet hiver ? Pas de panique !<br>Pour une fois je vais planifier pour mieux affronter les nouveaux défis qui m’attendent. Alors cette année :<menu><li> Je me fais un emploi du temps du tonnerre où tout est bien rodé et chronométré, en gros : je m’ORGANISE (c’est très jouissif d’arriver à faire tout ce que voulais en temps et en heure),<br><br><li> Je mange un carré de chocolat par jour, c’est plein de magnésium, rien de tel pour le moral et pour ne pas craquer en plein régime en étant frustrée de ne pas manger de sucré,<br><br><li> Je change la déco de chez moi : même pas besoin d’aller faire les magasins : un nouvel agencement de la pièce et je redécouvre mon appart.<br><br><li> Dans mon emploi du temps surbooké, je me prévois LA plage horaire réservée au glandouillage, au tournage de pouce, à la rêvasserie… rien de tel pour penser à de nouveaux projets, faire le point sur sa vie … et se faire du bien ! <br><br><li> Je prévois de me faire une sortie une fois par semaine avec mon chéri et/ou mes potes (ciné, théâtre, ballet, opéra, resto, boîte…) et on s’y tient : tolérance zéro à l’absentéisme. <br><br><li> La prochaine fois qu’une vendeuse m’envoie balader ( alors que je suis la seule cliente ) ou qu’un serveur fait mal son boulot ( j’étais pourtant hyper aimable …), je lui dis mes ses 4 vérités. Ça fait tellement du bien ! <br><br><li>Je me mets au yoga, à la sophrologie, au théâtre ou à la couture. Je me dégote une activité extra-scolaire / extra-boulot pour évacuer tout mon stress.<br><br><li>Hum … un bon petit massage, ça fait tellement longtemps… allez je m’en autorise un tous les deux mois.<br><br><li>Plus qu’une obligation, une question de vie ou de mort : cette année je pars en voyage. A Rome, en Inde, aux Antilles, n’importe où mais je bouge (et en avion).<br><br><li>Je me fais un cadeau ( raisonnable ) à chaque fois que j’en ai envie, quand j’ai appris une bonne nouvelle (la cadette a eu son bac…), pour me récompenser (j’ai enfin obtenu ma promotion…) ; le mot de l’année 2007 : SE FAIRE PLAISIR.</menu>",NULL,NULL,"0000-00-01","d.19","1"
