"id_produit","id_membre","id_photo","id_contenu","id_type","id_categorie","id_souscategorie1","id_souscategorie2","id_souscategorie3","titre","description","prix","lien","miseenavant","tags","date_post","statut","id_v1"
"347","1","6882",NULL,NULL,"1",NULL,NULL,NULL,"Veste motifs fleurs - Kookai","Laissez-vous tenter par une envie forte de mode grâce à cette pièce unique à l'imprimé fleuri subtile. Veste mi-hanche doublée gabardine unie, coupe cintrée, col et poches en contraste noir, cette veste tailleur se porte aussi bien avec une robe unie qu'un jean pour un style chic.<br><br><b>L'avis de TDN</b> : une veste bien coupée pour porter avec un pantalon chic ou un jean ! <br><br>Composition : 98 % coton , 2 % elasthanne<br><br>Ref : 131C0924","129","track.effiliation.com/servlet/effi.redir?id_compteur=12530490&url=http%3A%2F%2Fwww.kookai.fr%2Ffr%2Fmode%2Fe%2Bboutique%2FCollection%2BETE%2B2013%2FVeste%2FTailleur%2FP-veste_motif_fleurs-131c0924.htm%3FvariantId%3D3603526190254%28KookaiMasterCatalog%29%2","1","veste fleurs motifs floraux fleuris imprimés blazer printemps","2013-03-30","1","0"
"346","1","6881",NULL,NULL,"1",NULL,NULL,NULL,"Pantalon fleurs - Kookai","Pour un look frais et moderne, optez pour ce pantalon en gabardine fleurie. Pantalon jambe près du corps, longueur 7/8, dans un imprimé façon bouquet de fleur sur fond noir. A porter avec un haut uni! Disponible courant févrierComposition : 98 % coton , 2 % elasthanne<br><br><b>L'avis de TDN</b> : un pantalon fluide pratique, confortable et fashion à la fois!<br><br>Ref : 131T2441b","85","track.effiliation.com/servlet/effi.redir?id_compteur=12530490&url=http%3A%2F%2Fwww.kookai.fr%2Ffr%2Fmode%2Fe%2Bboutique%2FCollection%2BETE%2B2013%2FPantalon_et_jean%2FPantalon_slim%2FP-pantalon_imprime_fleurs-131t2441.htm%3FvariantId%3D3603526190070%28Koo","1","kookai pantalon fleurs motifs imprimés fleuris mode fashion floral floraux printemps été collection","2013-03-30","1","0"
"345","1","6880",NULL,NULL,"3",NULL,NULL,NULL,"Set de 5 vernis à ongles - Sephora","Un set entièrement dédié à la beauté de vos ongles.<bR><br><b>Ce kit contient</b> :<br>- Un vernis à ongles L25 \"It-girl\",<br>- Un vernis à ongles L05 \"dinner for 2\",<br>- Un vernis à ongles 96 \"electroshot\",<br>- Un vernis à ongles 95 \"London sky\",<br>- 1 top coat ultra pailleté pour des ongles bijoux.<br><br><b>Avis TDN</b> : idéal pour les vacances !<br><br><b>17 euros soldés à >>> 14 euros</b>.","14","ad.zanox.com/ppc/?24153137C307567875&ulp=[[http://www.sephora.fr/Maquillage/Palettes-Coffrets/Ongles/Set-de-5-vernis-a-ongles-Sephora/P1143144?cm_mmc=Affiliation_Promotionnelle_zanox_catalogueproduits__LienTexte__241012]]","1","beauté ongles manucure sephora dissolvant vernis kit","2013-03-30","1","0"
"344","1","6879",NULL,NULL,"3",NULL,NULL,NULL,"Kit manucure - Sephora","Pour être belle jusqu'au bout des ongles ...<br><br>Découvrez <b>ce kit qui réunit des produits et accessoires experts pour une manucure parfaitement soignée</b>.Un ensemble idéal pour polir, limer, soigner et mettre en valeur les ongles de toutes les femmes désireuses d'avoir des mains parfaites. Enfin, le bain dissolvant, vous permettra de changer la couleur de vos ongles au gré de vos envies.<br><br>A vous les plus belles mains !<br><br><b>Ce kit contient</b>:<br>- <b>un Vernis à Ongles</b> - L23 Where's my Purse ?<br>- <b>un Polissoir 4 étapes Chrono</b><br>- <b>un Bain Dissolvant Express</b> (75 ml)<br>- <b>une Crème Mains Nourrissante</b> (50 ml) OFFERTE.<br><br><b>Avis TDN</b> : indispensable pour avoir des ongles impeccables toute l'année.<br><br><br><br><b>24 euros soldés à >>> 19 euros</b>.","19","ad.zanox.com/ppc/?24153137C307567875&ulp=[[http://www.sephora.fr/Maquillage/Palettes-Coffrets/Ongles/Kit-Haut-les-Mains-/P509002?cm_mmc=Affiliation_Promotionnelle_zanox_catalogueproduits__LienTexte__241012]]","1","beauté ongles manucure sephora dissolvant vernis kit","2013-03-30","1","0"
"343","1","6833",NULL,NULL,"1",NULL,NULL,NULL,"Robe patineuse rayée Oasis chez Asos","- Article fabriqué en jersey stretch doux et facile d'entretien<br>    - Empiècements à rayures<br>    - Fermeture éclair au dos<br>    - Plis froncés<br>    - Coupe ajustée et évasée<br><br>LIVRAISON EXPRESS OFFERTE DÈS 75 euros AVEC LE CODE <b>EXPRESSFR</b> LORS DU PAIEMENT<br><br><b>À PROPOS D'OASIS</b> : <br>Créant des collections adaptées aux femmes et centrées sur la qualité des coupes et les modèles faciles à porter, la grande marque Oasis répond présente à chaque saison. Des créations flattant la silhouette prennent ainsi vie, agrémentées d'adorables ornements et d'imprimés vifs, et remarquablement rehaussées de coordonnés incontournables, de chaussures mode et d'accessoires tendance.","58","bit.ly/10PTRpn","0","robe patineuse rayée rayures rayure asos oasis mode fashion style look tendance","2013-03-15","1","0"
"342","1","6832",NULL,NULL,"1",NULL,NULL,NULL,"Jean skinny rayé sur Asos","<b>Jean skinny rayé enduit de polyuréthane, par Motel, modèle Roxy</b><bR><bR>- Article fabriqué en similicuir    <bR>- Style quatre poches    <br>- Empiècement plongeant au dos   <br> - Taille classique<br><br>LIVRAISON EXPRESS OFFERTE DÈS 75 euros AVEC LE CODE <b>EXPRESSFR</b> LORS DU PAIEMENT<br><br><b>À PROPOS DE MOTEL</b> :<bR>Inspirée par les coupes et imprimés vintage, la marque Motel est célèbre pour ses créations sophistiquées et son mélange de styles éclectique. Jouez sur la silhouette en misant sur les robes de soirée aux imprimés de couleurs vives et aux détails très féminins.","62","bit.ly/ZERZx6","1","mode fashion tendance rayures rayure jean pantalon rayé enduit Motel Asos look style bon plan offre code promo","2013-03-15","1","0"
"341","1","6830",NULL,NULL,"1",NULL,NULL,NULL,"Robe fourreau à rayures - River Island chez Asos ","    - Article fabriqué dans un mélange de polyester facile d'entretien<br>    - Rayures variées<br>    - Coupe près du corps<br><br><br>Livraison & Retour Gratuits<br><br><b>À PROPOS DE LA COLLECTION RIVER ISLAND</b> : <br><br>    River Island nous livre ici une collection éclectique de styles résolument tendance. Ne manquez pas ses robes de soirée à imprimés éclatants, ses détails très féminins, ses vestes tendance et toute une sélection très convoitée de jeans skinny et de shorts en denim à croquer, sans oublier sa ligne novatrice de chaussures et de maillots de bain.","51","bit.ly/Yx97qS","1","robe fourreau rayures mode Asos fashion tendance look style River Island ","2013-03-15","1","0"
"340","1","6829",NULL,NULL,"1",NULL,NULL,NULL,"Robe trapèze - Jovonnista chez Asos","58,43 € soldée à >>> <b>38,96 €</b><br><br><b>Description</b> : <bR>Robe habillée par Jovonista<br>    - Article fabriqué en mousseline transparente et délicate<br>    - Encolure bateau<br>    - Manches cape<br>    - Coupe fluide<br>    - Coupe décontractée<br><br>Livraison & Retour Gratuits.","38","bit.ly/ZEMlLm","0","robe trapèze Asos mousseline mariage cérémonie anniversaire relooking bleu fashion tendance","2013-03-15","1","0"
"339","1","6807",NULL,NULL,"1",NULL,NULL,NULL,"Jupe asymétrique, Vero Moda ","Une jolie jupe asymétrique fashion et facile à porter avec voile transparent !<bR><br><b>Avis TDN</b> : légère et canon, elle dévoilera vos gambettes, juse ce qu'il faut !","12","ad.zanox.com/ppc/?24148563C1439626090T","0","jupe Vero moda asymétrie asymétrique printemps été jambes","2013-03-06","1","0"
"338","1","6806",NULL,NULL,"8",NULL,NULL,NULL,"Casque Sennheiser HD 25-1 II","Fabricant : <b>Sennheiser</B><bR>Référence fabricant : HD25-1 II<bR><bR>Le HD 25 est un casque dynamique Hi-Fi stéréo, de type fermé offrant une excellente protection vis-à-vis des bruits environnants, contrairement aux casques de type ouvert. Le HD25 est particulièrement adapté à l'écoute dans un environnement bruyant, par exemple en contrôle d'écoute sur scène, en enregistrement en extérieur ou en usage domestique pour s'isoler des bruits ambiants. Bonne assise grâce à l'arceau double à écartement réglable. Câble unilatéral, déconnectable. Possibilité d'écoute unilatérale.<br><br><b>Avis TDN</B> : Très bon casque avec une qualité de son qui dépote !","176","ad.zanox.com/ppc/?24148415C394903481T","0","casque Sennheiser écoute son qualité","2013-03-06","1","0"
