"id_com","id_membre","id_contenu","id_type","commentaire","abonner_fil","statut","pseudo_v1","date_post"
"17538","0","625","2","bonjour , je m'appelle hélène et j'ai 15 ans issue d'u metissage j'ai le teint u peu mat mais d'un mat tres clair a la limite du livide ce qui donne u coté kaki rire comme meme pas a ce point jai des petit yeux expressif et des long mai large et rond ez qui me pousse u peu au complexe jai u visage assez rond qui laisse apparaitre une forme tres legerement ovale , j'ai aussi de petite levre tres fine qui ne me deplaise point je suis un peu ronde avec des forme mai largement pas grosse en tout k de mon point de vu et j'aimerai savoir quel maquillage et quel coupe de cheveux m'irai ps j'ai les cheveux frisés a toute petite boucle mais pas vraiment crépu ou alors tres tres finement ","1","1",NULL,"2011-08-23 14:36:25"
"17540","0","1297","2","je ne porte pas de soutien gorge ,ma mere n'ont plus ellene force pas en a mettre.J'ai 12 ans et une forte poitrine,au college je n'en met pas et mes copines le saventcertaines font pareils,en plus je porte des hauts assez mmoulants et ca se voit bien.Je met aussi des string et les garcons le savent et ils me le font savoir.Je ne porte plus de culotte depuis 1ans et il m'arrive de ne pas en mettre meme au college,certaines de mes copines font pareil que moi.Le plus genant c'est quant je fais du sport ca ballote mais je suis mieux comme ca","0","1",NULL,"2011-08-23 23:11:48"
"17541","0","1297","2","c'est ridicule de mettre des soutif moi j'en met pas et je me porte pas plus mal","0","1",NULL,"2011-08-23 23:16:26"
"20810","0","520","2","Bonjour ; je suis une jeune fille de 13 ans et demi et voila , je trouve que les coiffure sans franges ne me vont pas j'ai un visage rond et un nez qui me complexe : il est épaté et je n'aime pas dutout mais j'aimerai bien que les coiffures sans franges m'aille,c'est plus simple et pas besoin de chercher sa frange des qu'on se coiffe en plus cela nous donne moins chaud l'été ! mais bon cela ne me va pas !! pour le reste j'ai les cheveux chatain clair avec des reflets au burn et ils sont mi long mais je les laisse pousser car les cheveux longs me vont mieux ! qu'elle coiffure pourrais-je me faire ?","0","1",NULL,"2012-12-28 21:41:54"
"17546","2686","2455","2","Effectivement je n'ai pas trop ce genre de probleme mais ils vos mieux que tu leurs e parle et que tu leurs expliquent que ça te fait du mal quand elles ce permettent de te casser et de t'intimider car tu n'est la pour ta sentir mal à laise et si ceci reste tel kel sans aucune amélioration je te conseille de rester avec des gens qui te respecterons comme tu es ni plus ni mois bon courage ","0","1",NULL,"2011-08-24 12:24:59"
"17547","0","2455","2","Bah ouais traine pas avec elles c'est tout ou alors cassent les en retour, on verra si ça leurs plaient à elles --'","0","1",NULL,"2011-08-24 14:22:28"
"17641","0","1378","2","Bonjour, jeudi, je vais faire un test à la salle de sport pour m'y remettre en douceur chez eux. Je désire faire un jour de rpm et deux jours de sport aux machines. J'espère m'affermir et m'affiner sans trop perdre de poids. J'en aient 4 ou 6 maximum. Je lis sur le net que des gens perdent trop en faisant ça.Sportivement kinoo","1","1",NULL,"2011-09-10 13:58:12"
"17549","0","555","2","bienvenue au club des trahis sur le net; moi aussi, jai un homme qui aime tchatter et j en souffre comme toutes,il vient demmenager chez moi et je decouvre des dials sur son pcje ne suis plus jalouse, je suis passée par cette étape,c est vrai je suis conne de ne pas me separée de lui ","0","1",NULL,"2011-08-24 17:20:16"
"17551","0","717","2","J'ai 16 ans et je suis amoureuse d'un mec de 20 ans ... le problème c'est que je ne sais pas comment lui montrer sans lui dire directement de peur de me prendre un rateau à cose de la difference d'age ! Que puis-je faire ?!","1","1",NULL,"2011-08-25 00:48:14"
"17552","0","1638","2","bb","0","1",NULL,"2011-08-25 07:17:50"
